Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,class_id
793.8,888.4,882.6,685.2,583.2,121.6,156.2,858.0,108.0,671.8,794.0,143.0,672.2,399.4,102.4,831.6,866.4,39.8,494.8,831.8,355.0,431.6,723.0,104.6,193.6,8
318.8,885.2,762.2,751.4,725.6,483.4,878.6,133.8,553.4,468.6,227.2,182.8,897.2,436.0,506.0,587.6,911.8,224.8,884.8,301.4,134.8,846.8,859.0,526.0,896.4,8
37.8,15.8,705.0,98.2,88.6,723.8,495.4,455.8,83.0,205.8,225.0,25.8,752.0,714.8,601.4,873.6,664.6,230.2,431.4,43.0,412.0,735.8,282.6,894.4,897.8,8
864.4,228.6,649.0,537.0,534.8,619.4,788.4,627.6,147.8,269.4,443.2,783.2,514.0,716.4,650.6,816.4,285.4,646.6,695.0,166.6,644.2,529.6,906.2,254.8,308.0,8
918.4,725.4,733.4,138.6,946.6,59.8,399.2,864.2,63.0,222.0,673.2,53.0,55.0,748.6,901.0,884.0,240.8,921.8,886.0,716.8,47.2,769.6,922.6,139.4,821.6,8
758.4,398.4,669.6,26.8,522.6,682.0,903.6,235.0,850.8,105.4,226.0,272.0,775.8,549.2,836.0,653.6,143.4,364.0,550.4,4.4,471.6,696.4,128.8,623.8,963.2,8
857.2,732.0,467.8,599.6,441.2,651.4,586.4,834.8,100.2,869.8,36.0,867.0,230.4,647.2,574.8,81.6,250.0,888.8,25.6,102.2,237.2,369.4,338.4,684.0,133.6,8
104.8,682.2,615.2,75.0,384.2,780.6,225.2,285.6,375.6,724.2,545.4,821.0,650.8,559.2,517.2,533.0,117.4,28.4,327.8,142.0,823.6,336.2,4.4,955.6,563.6,8
143.2,139.8,748.8,118.6,359.4,810.0,219.0,856.4,601.8,438.8,76.4,503.2,786.0,41.0,153.8,210.0,218.8,790.4,534.8,112.2,393.0,53.8,532.8,148.6,200.4,9
823.6,609.8,248.8,942.8,695.0,206.6,501.8,59.4,769.0,200.6,275.4,933.4,744.6,751.0,140.0,211.6,98.6,142.2,85.4,103.2,441.2,441.8,809.2,974.4,290.6,9
768.6,192.4,111.2,383.0,542.8,762.0,363.2,850.8,738.0,591.8,433.0,610.0,572.0,290.6,445.4,650.8,77.0,304.0,287.2,772.0,361.0,149.0,322.4,97.8,736.4,9
555.0,896.4,142.8,290.4,713.6,159.0,613.0,373.8,770.6,745.6,124.0,46.6,4.6,118.4,825.4,735.4,912.6,4.4,519.6,617.2,15.8,252.4,3.8,4.6,863.2,9
673.8,142.0,768.6,69.8,87.8,855.2,887.4,170.2,826.4,698.4,156.8,854.6,36.8,584.2,3.8,42.6,626.8,659.4,501.6,251.0,17.2,340.0,237.6,225.6,667.0,9
385.2,368.6,890.0,600.6,15.4,698.6,464.4,750.6,871.6,116.0,859.2,666.8,498.6,791.4,262.6,715.0,146.2,778.0,4.8,136.0,901.4,519.0,786.4,728.2,249.4,9
952.0,737.0,629.2,565.0,812.4,803.8,635.0,903.4,843.0,614.2,467.4,173.8,413.0,69.0,222.4,181.4,35.2,15.2,752.2,498.0,43.6,382.2,636.6,208.4,555.8,9
641.4,653.8,746.0,108.4,978.4,745.4,60.6,600.6,177.4,290.4,106.6,476.0,576.4,555.0,517.0,12.6,332.6,614.2,481.2,114.4,92.8,184.2,393.6,920.2,910.8,9
864.6,916.0,620.4,321.6,305.4,128.4,649.2,780.0,477.6,933.6,551.2,331.4,99.4,579.4,22.4,33.6,169.2,861.8,544.2,146.4,536.2,592.8,223.6,166.4,612.8,9
302.6,708.6,102.6,704.6,548.6,359.0,809.8,804.8,857.2,18.0,315.6,62.6,264.2,558.0,180.4,390.6,251.2,138.2,425.4,470.2,743.6,844.0,743.8,655.2,857.4,9
345.0,621.8,909.0,22.2,711.2,131.8,20.6,139.6,714.0,93.8,626.6,841.0,250.0,422.2,16.0,880.6,109.4,154.2,212.6,909.6,538.8,24.6,763.8,708.6,221.8,10
827.0,90.4,85.8,876.8,682.8,562.4,880.4,854.8,72.6,755.6,704.4,777.2,140.4,807.4,35.6,960.4,371.8,531.0,791.2,133.4,5.0,504.2,372.6,224.6,376.8,10
782.8,398.4,154.8,841.6,573.6,4.6,819.8,165.0,301.4,336.0,781.4,907.6,711.0,542.8,143.0,483.0,566.0,505.4,412.0,241.6,328.2,421.2,97.2,82.0,794.8,10
661.8,495.2,783.0,877.4,79.4,932.2,855.6,575.2,479.4,296.8,743.8,318.4,410.2,36.6,152.6,55.6,381.4,63.2,493.4,873.4,369.4,733.6,4.8,257.8,340.4,10
